S01-S1.1-M-51;S01-S1.2-M-51;S01-S2.1-M-51;S01-S2.2-M-51
1840;1868;1888;2132
1860;1888;1944;2120
1892;1920;1992;2104
1932;1964;2032;2084
1976;2012;2064;2060
2016;2060;2084;2044
2056;2100;2096;2032
2088;2136;2096;2020
2116;2164;2088;2016
2140;2184;2072;2012
2156;2192;2052;2008
2164;2196;2028;2000
2164;2188;2004;1996
2156;2172;1984;1988
2148;2156;1968;1980
2132;2132;1956;1968
2120;2112;1948;1956
2104;2092;1944;1944
2088;2072;1940;1932
2072;2060;1940;1920
2060;2048;1936;1908
2048;2036;1936;1896
2040;2028;1932;1884
2028;2016;1928;1872
2020;2004;1920;1860
2008;1992;1912;1852
1992;1980;1900;1844
1976;1964;1884;1836
1960;1948;1864;1836
1940;1932;1848;1848
1928;1920;1828;1876
1916;1904;1804;1916
1908;1888;1784;1964
1900;1876;1764;2016
1896;1860;1748;2072
1888;1848;1744;2120
1876;1836;1752;2160
1856;1824;1780;2192
1840;1812;1816;2212
1820;1808;1868;2224
1808;1804;1916;2224
1804;1812;1964;2212
1812;1836;2000;2196
1832;1868;2032;2176
1860;1916;2048;2156
1900;1968;2060;2136
1944;2020;2060;2116
1984;2068;2052;2104
2020;2112;2036;2096
2056;2144;2012;2088
2080;2168;1988;2080
2096;2180;1964;2076
2108;2184;1944;2068
2108;2176;1928;2060
2104;2164;1920;2052
2092;2144;1916;2040
2076;2120;1916;2024
2056;2096;1916;2012
2036;2076;1916;1996
2020;2060;1916;1984
2004;2044;1916;1968
1992;2032;1912;1956
1984;2024;1904;1940
1972;2016;1900;1928
1968;2008;1888;1916
1960;2000;1876;1904
1956;1988;1864;1892
1948;1980;1852;1884
1940;1964;1840;1884
1932;1952;1828;1892
1920;1940;1816;1912
1912;1924;1804;1948
1900;1912;1796;1992
1888;1896;1788;2040
1876;1884;1784;2092
1864;1872;1796;2140
1852;1860;1820;2180
1840;1848;1860;2208
1828;1840;1916;2228
1816;1828;1972;2236
1808;1824;2028;2236
1800;1832;2080;2228
1796;1848;2124;2212
1804;1880;2156;2188
1816;1924;2180;2168
1848;1976;2192;2148
1888;2032;2196;2136
1936;2084;2188;2124
1984;2128;2172;2116
2032;2164;2148;2112
2076;2192;2120;2108
2112;2208;2092;2104
2140;2212;2064;2096
2160;2208;2040;2088
2168;2200;2020;2080
2172;2180;2004;2068
2168;2160;1988;2056
2160;2136;1972;2044
2144;2116;1956;2028
2124;2096;1940;2012
2104;2080;1924;2000
2084;2068;1912;1984
2068;2060;1900;1968
2056;2052;1888;1956
2044;2044;1876;1944
2036;2036;1860;1932
2024;2024;1848;1920
2016;2012;1832;1916
2008;2000;1816;1920
1996;1988;1800;1936
1984;1972;1788;1964
1972;1956;1776;2004
1956;1944;1764;2056
1944;1928;1756;2108
1932;1912;1752;2156
1916;1900;1752;2200
1904;1888;1768;2232
1892;1876;1800;2256
1880;1864;1844;2272
1864;1856;1900;2276
1852;1852;1956;2268
1836;1856;2012;2252
1824;1876;2060;2232
1812;1916;2096;2212
1800;1964;2124;2192
1796;2024;2140;2172
1804;2088;2144;2160
1824;2144;2140;2152
1860;2192;2128;2144
1908;2232;2108;2140
1956;2264;2084;2136
2008;2284;2056;2128
2056;2292;2032;2120
2096;2292;2008;2108
2128;2280;1992;2096
2152;2264;1976;2084
2168;2240;1964;2068
2176;2216;1952;2052
2172;2192;1944;2036
2164;2172;1932;2020
