S01-S1-M-51;S01-S1-M-51
2056;1872
2040;1856
2024;1836
2004;1820
1988;1804
1968;1788
1952;1772
1936;1756
1920;1740
1904;1728
1892;1720
1872;1716
1852;1724
1840;1748
1832;1788
1840;1836
1860;1888
1892;1944
1932;1992
1976;2032
2016;2064
2056;2084
2088;2096
2116;2096
2140;2088
2156;2072
2164;2052
2164;2028
2156;2004
2148;1984
2132;1968
2120;1956
2104;1948
2088;1944
2072;1940
2060;1940
2048;1936
2040;1936
2028;1932
2020;1928
2008;1920
1992;1912
1976;1900
1960;1884
1940;1864
1928;1848
1916;1828
1908;1804
1900;1784
1896;1764
1888;1748
1876;1744
1856;1752
1840;1780
1820;1816
1808;1868
1804;1916
1812;1964
1832;2000
1860;2032
1900;2048
1944;2060
1984;2060
2020;2052
2056;2036
2080;2012
2096;1988
2108;1964
2108;1944
2104;1928
2092;1920
2076;1916
2056;1916
2036;1916
2020;1916
2004;1916
1992;1916
1984;1912
1972;1904
1968;1900
1960;1888
1956;1876
1948;1864
1940;1852
1932;1840
1920;1828
1912;1816
1900;1804
1888;1796
1876;1788
1864;1784
1852;1796
1840;1820
1828;1860
1816;1916
1808;1972
1800;2028
1796;2080
1804;2124
1816;2156
1848;2180
1888;2192
1936;2196
1984;2188
2032;2172
2076;2148
2112;2120
2140;2092
2160;2064
2168;2040
2172;2020
2168;2004
2160;1988
2144;1972
2124;1956
2104;1940
2084;1924
2068;1912
2056;1900
2044;1888
2036;1876
2024;1860
2016;1848
2008;1832
1996;1816
1984;1800
1972;1788
1956;1776
1944;1764
1932;1756
1916;1752
1904;1752
1892;1768
1880;1800
1864;1844
1852;1900
1836;1956
1824;2012
1812;2060
1800;2096
1796;2124
1804;2140
1824;2144
1860;2140
1908;2128
1956;2108
2008;2084
2056;2056
2096;2032
2128;2008
2152;1992
2168;1976
2176;1964
2172;1952
2164;1944
2144;1932
2124;1920
2100;1908
2080;1896
2064;1880
2052;1864
2044;1848
2040;1832
2036;1816
2036;1800
2032;1788
2028;1776
2020;1764
2012;1752
2004;1740
1992;1736
1984;1736
1976;1744
1968;1768
1960;1804
1952;1852
1940;1908
1924;1960
1912;2012
1896;2056
1880;2092
1868;2120
1860;2132
1868;2136
1888;2132
1920;2120
1964;2104
2012;2084
2060;2060
2100;2044
2136;2032
2164;2020
2184;2016
2192;2012
2196;2008
2188;2000
2172;1996
2156;1988
2132;1980
2112;1968
2092;1956
2072;1944
2060;1932
2048;1920
2036;1908
2028;1896
2016;1884
2004;1872
1992;1860
1980;1852
1964;1844
1948;1836
1932;1836
1920;1848
1904;1876
1888;1916
1876;1964
1860;2016
1848;2072
1836;2120
1824;2160
1812;2192
1808;2212
1804;2224
1812;2224
1836;2212
1868;2196
1916;2176
1968;2156
2020;2136
2068;2116
2112;2104
2144;2096
2168;2088
2180;2080
2184;2076
2176;2068
2164;2060
2144;2052
2120;2040
2096;2024
2076;2012
2060;1996
2044;1984
2032;1968
2024;1956
2016;1940
2008;1928
2000;1916
1988;1904
1980;1892
1964;1884
1952;1884
1940;1892
1924;1912
1912;1948
1896;1992
1884;2040
1872;2092
1860;2140
1848;2180
1840;2208
1828;2228
1824;2236
1832;2236
1848;2228
1880;2212
1924;2188
1976;2168
2032;2148
2084;2136
2128;2124
2164;2116
2192;2112
2208;2108
2212;2104
2208;2096
2200;2088
2180;2080
2160;2068
2136;2056
2116;2044
2096;2028
2080;2012
2068;2000
2060;1984
2052;1968
2044;1956
2036;1944
2024;1932
2012;1920
2000;1916
1988;1920
1972;1936
1956;1964
1944;2004
1928;2056
1912;2108
1900;2156
1888;2200
1876;2232
1864;2256
1856;2272
1852;2276
1856;2268
1876;2252
1916;2232
1964;2212
2024;2192
2088;2172
2144;2160
2192;2152
2232;2144
2264;2140
2284;2136
2292;2128
2292;2120
2280;2108
2264;2096
2240;2084
2216;2068
2192;2052
2172;2036
2152;2020
2140;2004
2128;1988
2116;1976
2108;1960
2096;1948
2084;1936
2068;1932
2052;1932
2036;1948
2020;1972
2004;2016
1984;2068
1968;2124
1952;2180
1936;2232
1920;2276
1904;2312
1892;2336
1880;2348
1868;2356
1868;2348
1884;2332
1912;2312
1956;2292
2008;2272
2068;2252
2124;2240
2176;2232
2220;2224
2252;2212
2276;2204
2288;2196
2288;2184
2280;2172
2264;2156
2240;2140
2216;2124
2192;2104
2172;2084
2152;2068
2136;2052
2124;2036
2112;2020
2104;2004
2092;1992
2080;1980
2068;1972
2052;1972
2036;1980
2020;2004
2004;2040
1984;2088
1968;2140
