A14-A1;A14-A2;A14-A3;A14-A4;A14-A5;A14-A6;A14-A7;A14-A8;A14-A9;A14-A10
1440;1512;1468;1412;1556;1672;1604;1696;1612;1648
1440;1532;1488;1412;1560;1672;1624;1708;1612;1660
1460;1588;1540;1428;1592;1688;1672;1752;1636;1704
1508;1684;1632;1476;1668;1732;1752;1824;1696;1788
1600;1816;1752;1572;1780;1796;1844;1912;1792;1896
1732;1960;1888;1700;1924;1876;1944;2008;1912;2012
1884;2104;2020;1856;2068;1952;2028;2096;2032;2128
2036;2232;2140;2008;2204;2020;2100;2172;2144;2224
2176;2336;2236;2152;2320;2076;2152;2228;2240;2304
2292;2420;2312;2268;2412;2112;2188;2264;2312;2360
2384;2484;2368;2364;2480;2132;2208;2288;2368;2400
2452;2536;2412;2432;2532;2140;2220;2300;2408;2428
2500;2572;2444;2480;2568;2144;2232;2304;2432;2448
2532;2604;2468;2512;2596;2144;2236;2304;2452;2460
2556;2624;2488;2536;2616;2140;2240;2304;2468;2468
2572;2636;2500;2548;2624;2132;2244;2296;2476;2464
2576;2636;2500;2556;2624;2120;2236;2284;2480;2456
2572;2628;2492;2552;2616;2108;2224;2268;2476;2444
2560;2608;2476;2536;2600;2088;2208;2252;2464;2424
2540;2584;2452;2516;2576;2072;2192;2236;2448;2404
2516;2560;2428;2488;2552;2056;2172;2220;2428;2384
2492;2536;2404;2460;2524;2044;2156;2212;2404;2364
2468;2516;2384;2432;2500;2040;2140;2204;2384;2348
2448;2492;2364;2404;2476;2036;2128;2196;2368;2336
2428;2468;2340;2376;2456;2028;2116;2192;2352;2320
2408;2444;2320;2352;2432;2024;2104;2180;2336;2300
2388;2416;2300;2328;2408;2012;2084;2168;2320;2280
2364;2384;2272;2304;2380;2000;2068;2152;2300;2256
2340;2352;2244;2276;2348;1984;2048;2128;2280;2224
2312;2316;2212;2244;2312;1968;2028;2108;2256;2192
2280;2280;2180;2212;2276;1952;2008;2080;2228;2160
2244;2244;2144;2176;2240;1936;1992;2056;2200;2124
2204;2204;2108;2136;2200;1920;1976;2028;2168;2092
2168;2172;2072;2100;2164;1904;1960;2004;2136;2056
2128;2136;2040;2060;2128;1892;1944;1980;2104;2028
2088;2104;2008;2020;2092;1884;1928;1960;2072;1996
2048;2072;1976;1984;2060;1872;1916;1936;2040;1968
2008;2040;1948;1948;2024;1860;1900;1916;2012;1940
1972;2008;1920;1912;1996;1848;1880;1900;1984;1916
1936;1976;1892;1876;1964;1836;1864;1880;1956;1892
1900;1948;1864;1844;1940;1824;1844;1860;1932;1864
1864;1920;1836;1812;1912;1808;1828;1844;1904;1840
1832;1892;1812;1780;1884;1792;1808;1824;1880;1816
1800;1868;1784;1752;1860;1780;1792;1808;1856;1792
1772;1836;1760;1720;1836;1764;1780;1792;1832;1772
1740;1812;1732;1692;1812;1752;1768;1776;1812;1748
1716;1784;1708;1668;1788;1744;1756;1756;1788;1724
1688;1760;1684;1644;1764;1732;1748;1740;1768;1704
1668;1732;1660;1620;1740;1716;1740;1728;1744;1680
1644;1708;1636;1600;1716;1704;1732;1724;1724;1660
1620;1684;1612;1580;1696;1696;1716;1748;1704;1644
1600;1664;1592;1560;1676;1692;1700;1800;1684;1632
1584;1660;1572;1544;1656;1708;1680;1884;1664;1644
1572;1684;1552;1528;1636;1752;1664;1980;1644;1688
1576;1744;1532;1512;1620;1812;1648;2076;1628;1776
1604;1832;1516;1496;1604;1884;1628;2164;1608;1888
1676;1940;1496;1484;1600;1956;1612;2236;1592;2016
1784;2056;1480;1472;1616;2020;1596;2288;1576;2140
1912;2156;1468;1460;1664;2068;1584;2328;1564;2248
2048;2244;1452;1452;1752;2100;1580;2348;1552;2340
2176;2312;1444;1452;1860;2116;1608;2364;1548;2408
2284;2360;1448;1468;1976;2124;1660;2368;1572;2456
2372;2396;1476;1520;2084;2120;1744;2376;1628;2492
2436;2424;1540;1612;2172;2116;1840;2372;1728;2520
